特征层分析报告
用户: zhangyuguai
时间: 2025-03-05 07:36:02

总共分析了 189 个特征层
--------------------------------------------------------------------------------
层名称                                      敏感度分数      形状                   详细距离
--------------------------------------------------------------------------------
1.Conv2d_2b_3x3.conv                     66.551950  1x64x147x147         l2=133.1032, cosine=0.0007
1.Conv2d_2a_3x3.conv                     44.498769  1x32x147x147         l2=88.9968, cosine=0.0008
1.Conv2d_2b_3x3.bn                       35.508971  1x64x147x147         l2=71.0168, cosine=0.0011
1.Conv2d_4a_3x3.conv                     35.031238  1x192x71x71          l2=70.0622, cosine=0.0003
1.Conv2d_3b_1x1.conv                     29.719092  1x80x73x73           l2=59.4377, cosine=0.0005
1.Conv2d_2a_3x3.bn                       25.333213  1x32x147x147         l2=50.6654, cosine=0.0010
1.Conv2d_4a_3x3.bn                       22.043980  1x192x71x71          l2=44.0874, cosine=0.0005
1.Conv2d_1a_3x3.bn                       15.792686  1x32x149x149         l2=31.5851, cosine=0.0003
1.Conv2d_3b_1x1.bn                       15.755768  1x80x73x73           l2=31.5107, cosine=0.0009
1.Mixed_5d.branch5x5_2.conv              10.829319  1x64x35x35           l2=21.6538, cosine=0.0048
1.Mixed_5b.branch1x1.conv                10.737584  1x64x35x35           l2=21.4747, cosine=0.0004
1.Mixed_5c.branch1x1.conv                9.460332   1x64x35x35           l2=18.9203, cosine=0.0004
1.Mixed_5d.branch3x3dbl_3.conv           9.258634   1x96x35x35           l2=18.5149, cosine=0.0023
1.Conv2d_1a_3x3.conv                     8.720159   1x32x149x149         l2=17.4393, cosine=0.0011
1.Mixed_5d.branch1x1.conv                8.479271   1x64x35x35           l2=16.9579, cosine=0.0007
1.Mixed_5b.branch5x5_2.conv              8.245402   1x64x35x35           l2=16.4906, cosine=0.0003
1.Mixed_5b.branch3x3dbl_3.conv           7.946833   1x96x35x35           l2=15.8921, cosine=0.0016
1.Mixed_5b.branch3x3dbl_1.conv           7.913952   1x64x35x35           l2=15.8275, cosine=0.0004
1.Mixed_5d.branch3x3dbl_2.conv           7.773702   1x96x35x35           l2=15.5455, cosine=0.0019
1.Mixed_5b.branch3x3dbl_2.conv           7.499267   1x96x35x35           l2=14.9981, cosine=0.0005
1.Mixed_5b.branch1x1.bn                  7.498212   1x64x35x35           l2=14.9961, cosine=0.0003
1.Mixed_5c.branch5x5_2.conv              7.463213   1x64x35x35           l2=14.9256, cosine=0.0009
1.Mixed_5c.branch3x3dbl_2.conv           7.277179   1x96x35x35           l2=14.5536, cosine=0.0008
1.Mixed_5c.branch1x1.bn                  7.260442   1x64x35x35           l2=14.5204, cosine=0.0005
1.Mixed_6a.branch3x3.conv                7.125649   1x384x17x17          l2=14.2503, cosine=0.0010
1.Mixed_5c.branch3x3dbl_3.conv           6.923899   1x96x35x35           l2=13.8449, cosine=0.0029
1.Mixed_5d.branch5x5_1.conv              6.831787   1x48x35x35           l2=13.6625, cosine=0.0011
1.Mixed_5d.branch3x3dbl_3.bn             6.735565   1x96x35x35           l2=13.4668, cosine=0.0043
1.Mixed_6a.branch3x3dbl_2.conv           6.475030   1x96x35x35           l2=12.9479, cosine=0.0022
1.Mixed_5d.branch5x5_2.bn                6.453336   1x64x35x35           l2=12.9044, cosine=0.0023
1.Mixed_5c.branch3x3dbl_3.bn             6.369546   1x96x35x35           l2=12.7366, cosine=0.0025
1.Mixed_5b.branch3x3dbl_3.bn             6.313053   1x96x35x35           l2=12.6247, cosine=0.0014
1.Mixed_5b.branch3x3dbl_2.bn             6.168961   1x96x35x35           l2=12.3363, cosine=0.0016
1.Mixed_6b.branch1x1.conv                6.001496   1x192x17x17          l2=12.0013, cosine=0.0017
1.Mixed_5b.branch3x3dbl_1.bn             5.883304   1x64x35x35           l2=11.7659, cosine=0.0007
1.Mixed_5c.branch3x3dbl_1.conv           5.717424   1x64x35x35           l2=11.4345, cosine=0.0004
1.Mixed_5c.branch3x3dbl_2.bn             5.710660   1x96x35x35           l2=11.4192, cosine=0.0021
1.Mixed_5d.branch5x5_1.bn                5.705665   1x48x35x35           l2=11.4080, cosine=0.0033
1.Mixed_6a.branch3x3dbl_1.bn             5.607952   1x64x35x35           l2=11.2116, cosine=0.0043
1.Mixed_6a.branch3x3dbl_1.conv           5.570464   1x64x35x35           l2=11.1393, cosine=0.0017
1.Mixed_5c.branch3x3dbl_1.bn             5.496732   1x64x35x35           l2=10.9921, cosine=0.0014
1.Mixed_5d.branch3x3dbl_2.bn             5.442455   1x96x35x35           l2=10.8829, cosine=0.0021
1.Mixed_5d.branch1x1.bn                  5.367248   1x64x35x35           l2=10.7335, cosine=0.0010
1.Mixed_5d.branch3x3dbl_1.conv           5.297499   1x64x35x35           l2=10.5946, cosine=0.0004
1.Mixed_5b.branch5x5_1.conv              5.266557   1x48x35x35           l2=10.5328, cosine=0.0003
1.Mixed_5c.branch5x5_2.bn                5.229288   1x64x35x35           l2=10.4574, cosine=0.0012
1.Mixed_5d.branch3x3dbl_1.bn             4.996123   1x64x35x35           l2=9.9913, cosine=0.0009
1.Mixed_5b.branch5x5_1.bn                4.947637   1x48x35x35           l2=9.8948, cosine=0.0004
1.Mixed_6a.branch3x3.bn                  4.946111   1x384x17x17          l2=9.8874, cosine=0.0048
1.Mixed_5c.branch5x5_1.bn                4.636958   1x48x35x35           l2=9.2721, cosine=0.0018
1.Mixed_6c.branch1x1.conv                4.581298   1x192x17x17          l2=9.1602, cosine=0.0023
1.Mixed_5c.branch5x5_1.conv              4.568319   1x48x35x35           l2=9.1362, cosine=0.0004
1.Mixed_6a.branch3x3dbl_2.bn             4.555404   1x96x35x35           l2=9.1012, cosine=0.0096
1.Mixed_7c.branch1x1.bn                  4.279834   1x320x8x8            l2=8.5558, cosine=0.0039
1.Mixed_6d.branch1x1.bn                  4.194528   1x192x17x17          l2=8.3852, cosine=0.0038
1.Mixed_6d.branch1x1.conv                4.164269   1x192x17x17          l2=8.3261, cosine=0.0024
1.Mixed_5b.branch5x5_2.bn                4.052587   1x64x35x35           l2=8.1048, cosine=0.0004
1.Mixed_6c.branch1x1.bn                  4.027025   1x192x17x17          l2=8.0518, cosine=0.0023
1.Mixed_6b.branch7x7_1.conv              3.960656   1x128x17x17          l2=7.9185, cosine=0.0028
1.Mixed_6b.branch7x7dbl_5.conv           3.946209   1x192x17x17          l2=7.8912, cosine=0.0012
1.Mixed_7c.branch3x3dbl_3b.bn            3.896275   1x384x8x8            l2=7.7880, cosine=0.0045
1.Mixed_6b.branch1x1.bn                  3.882375   1x192x17x17          l2=7.7629, cosine=0.0019
